date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:52	38549/38549	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2022:01:34%20GMT	https://colorlib.com/preview/theme/homespace/	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/index.html	(from )
14:22:53	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
14:22:56	196455/196455	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a63d2-2ff67%22	https://colorlib.com/preview/theme/homespace/css/bootstrap.min.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/bootstrap.min.css	(from https://colorlib.com/preview/theme/homespace/)
14:22:57	6950/6950	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a63d2-1b26%22	https://colorlib.com/preview/theme/homespace/css/magnific-popup.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/magnific-popup.css	(from https://colorlib.com/preview/theme/homespace/)
14:22:58	21738/21738	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a63d1-54ea%22	https://colorlib.com/preview/theme/homespace/css/jquery-ui.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/jquery-ui.css	(from https://colorlib.com/preview/theme/homespace/)
14:22:58	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a63d4-b78%22	https://colorlib.com/preview/theme/homespace/css/owl.carousel.min.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/homespace/)
14:22:59	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a63d5-3c5%22	https://colorlib.com/preview/theme/homespace/css/owl.theme.default.min.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/homespace/)
14:23:00	17144/17144	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a63ca-42f8%22	https://colorlib.com/preview/theme/homespace/css/bootstrap-datepicker.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/bootstrap-datepicker.css	(from https://colorlib.com/preview/theme/homespace/)
14:23:01	15886/15886	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a63d4-3e0e%22	https://colorlib.com/preview/theme/homespace/css/mediaelementplayer.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/mediaelementplayer.css	(from https://colorlib.com/preview/theme/homespace/)
14:23:02	79820/79820	---MCZ	200	added ('OK')	text/css	etag:W/%225c3a6509-137cc%22	https://colorlib.com/preview/theme/homespace/fonts/icomoon/style.css	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/icomoon/style.css	(from https://colorlib.com/preview/theme/homespace/)
